bout_number,bout_length_sec,bout_start_time,IC,FC,gait_cycles,steps,stride_duration,stride_duration_asymmetry,step_duration,step_duration_asymmetry,cadence,initial_double_support,initial_double_support_asymmetry,terminal_double_support,terminal_double_support_asymmetry,double_support,double_support_asymmetry,single_limb_support,single_limb_support_asymmetry,stance,stance_asymmetry,swing,swing_asymmetry,step_length,step_length_asymmetry,stride_length,stride_length_asymmetry,gait_speed
1,24.220,2022-04-01 10:00:00,1648807209380,1648807210180,13,18,1.260,0.040,0.640,0.020,93.750,0.160,0.000,0.160,0.020,0.320,0.020,0.480,0.020,0.800,0.040,0.460,0.000,1.430,0.060,2.920,0.020,2.320
1,24.220,2022-04-01 10:00:00,1648807210020,1648807210780,13,18,1.220,0.000,0.620,0.020,96.770,0.160,0.020,0.140,0.040,0.300,0.020,0.460,0.000,0.760,0.020,0.460,0.020,1.490,0.040,2.940,0.060,2.410
1,24.220,2022-04-01 10:00:00,1648807210640,1648807211420,13,18,1.220,0.640,0.600,0.020,100.000,0.140,0.040,0.180,0.040,0.320,0.000,0.460,0.020,0.780,0.020,0.440,0.660,1.450,0.110,3.000,0.120,2.460
1,24.220,2022-04-01 10:00:00,1648807211240,1648807212000,13,18,1.860,0.160,0.620,0.620,96.770,0.180,0.040,0.140,0.080,0.320,0.040,0.440,0.660,0.760,0.700,1.100,0.540,1.550,0.020,3.130,1.080,1.680
1,24.220,2022-04-01 10:00:00,1648807211860,1648807213320,13,18,2.020,0.100,1.240,0.460,48.390,0.140,0.080,0.220,0.000,0.360,0.080,1.100,0.540,1.460,0.460,0.560,0.360,1.570,1.100,2.040,1.100,1.010
1,24.220,2022-04-01 10:00:00,1648807213100,1648807214100,13,18,1.920,0.060,0.780,0.360,76.920,0.220,0.000,0.220,0.040,0.440,0.040,0.560,0.360,1.000,0.400,0.920,0.460,0.470,0.000,0.950,0.160,0.490
1,24.220,2022-04-01 10:00:00,1648807213880,1648807215280,13,18,1.860,0.380,1.140,0.420,52.630,0.220,0.040,0.260,0.000,0.480,0.040,0.920,0.460,1.400,0.420,0.460,0.040,0.470,0.160,0.790,0.210,0.420
1,24.220,2022-04-01 10:00:00,1648807215020,1648807216000,13,18,1.480,0.020,0.720,0.040,83.330,0.260,0.000,0.260,0.120,0.520,0.120,0.460,0.040,0.980,0.080,0.500,0.060,0.310,0.050,0.570,0.280,0.390
1,24.220,2022-04-01 10:00:00,1648807215740,1648807216640,13,18,1.460,0.160,0.760,0.060,78.950,0.260,0.120,0.140,0.080,0.400,0.040,0.500,0.060,0.900,0.020,0.560,0.140,0.260,0.330,0.850,0.130,0.580
1,24.220,2022-04-01 10:00:00,1648807216500,1648807217420,13,18,1.620,0.100,0.700,0.220,85.710,0.140,0.080,0.220,0.100,0.360,0.020,0.560,0.140,0.920,0.120,0.700,0.220,0.590,0.200,0.980,0.340,0.600
1,24.220,2022-04-01 10:00:00,1648807217200,1648807218240,13,18,1.520,0.080,0.920,0.320,65.220,0.220,0.100,0.120,0.080,0.340,0.020,0.700,0.220,1.040,0.240,0.480,0.160,0.390,0.140,0.640,0.040,0.420
1,24.220,2022-04-01 10:00:00,1648807218120,1648807218920,13,18,1.440,0.140,0.600,0.240,100.000,0.120,0.080,0.200,0.040,0.320,0.040,0.480,0.160,0.800,0.200,0.640,0.060,0.250,0.180,0.690,0.010,0.480
1,24.220,2022-04-01 10:00:00,1648807218720,1648807219720,13,18,1.580,0.140,0.840,0.100,71.430,0.200,0.040,0.160,0.080,0.360,0.040,0.640,0.060,1.000,0.020,0.580,0.160,0.440,0.180,0.690,0.120,0.440
